CODIGO_ENTIDAD|NOMBRE|PERIODO_LICENCIAMIENTO|DEPARTAMENTO_LOCAL|DENOMINACION_PROGRAMA|TIPO_GESTION|ESTADO_LICENCIAMIENTO|CODIGO_FILIAL|NOMBRE_FILIAL|DEPARTAMENTO_FILIAL|PROVINCIA_FILIAL|CODIGO_LOCAL|PROVINCIA_LOCAL|DISTRITO_LOCAL|LATITUD_UBICACION|LONGITUD_UBICACION|TIPO_AUTORIZACION_LOCAL|TIPO_NIVEL_ACADEMICO|NIVEL_ACADEMICO|CODIGO_CLASE_PROGRAMA_N2|NOMBRE_CLASE_PROGRAMA_N2|TIPO_AUTORIZACION_PROGRAMA|TIPO_AUTORIZACION_PROGRAMA_LOCAL
14|UNIVERSIDAD PERUANA CAYETANO HEREDIA|10|LIMA|MAESTRÍA EN EDUCACIÓN CON MENCIÓN EN DOCENCIA E INVESTIGACIÓN EN EDUCACIÓN SUPERIOR|PRIVADO|LICENCIA OTORGADA|S|UPCH-LIMA|LIMA|LIMA|SL01|LIMA|SAN MARTÍN DE PORRES|-12.0239471|-77.0564991|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|13|EDUCACIÓN SUPERIOR Y TECNOLÓGICA|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
15|UNIVERSIDAD CATÓLICA DE SANTA MARÍA|6|AREQUIPA|RADIOTERAPIA|PRIVADO|LICENCIA OTORGADA|S|UCSM-AREQUIPA|AREQUIPA|AREQUIPA|SL01|AREQUIPA|AREQUIPA|-16.4061786|-71.5476298|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
19|UNIVERSIDAD DE SAN MARTÍN DE PORRES|6|LIMA|MEDICINA OCUPACIONAL Y MEDIO AMBIENTE|PRIVADO|LICENCIA OTORGADA|S|USMP-LIMA|LIMA|LIMA|SL04|LIMA|LA MOLINA|-12.0976099|-76.9501312|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|2|SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
65|UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C.|6|LIMA|ADMINISTRACIÓN Y MARKETING|PRIVADO|LICENCIA OTORGADA|S|UTP-LIMA|LIMA|LIMA|SL09|LIMA|SAN JUAN DE LURIGANCHO|-11.98329601|-77.00953028|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|41|ADMINISTRACIÓN Y COMERCIO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
5|UNIVERSIDAD NACIONAL DE SAN AGUSTÍN DE AREQUIPA|10|AREQUIPA|GESTIÓN MUNICIPAL|PÚBLICO|LICENCIA OTORGADA|S|UNSA-AREQUIPA|AREQUIPA|AREQUIPA|SL01|AREQUIPA|AREQUIPA|-16.4027681|-71.5255001|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|41|ADMINISTRACIÓN Y COMERCIO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
5|UNIVERSIDAD NACIONAL DE SAN AGUSTÍN DE AREQUIPA|10|AREQUIPA|MAESTRÍA EN CIENCIAS CON MENCIÓN EN SEGURIDAD ALIMENTARIA Y DESARROLLO HUMANO|PÚBLICO|LICENCIA OTORGADA|S|UNSA-AREQUIPA|AREQUIPA|AREQUIPA|SL03|AREQUIPA|AREQUIPA|-16.4091607|-71.5366759|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
19|UNIVERSIDAD DE SAN MARTÍN DE PORRES|6|LIMA|CIRUGÍA DE TÓRAX Y CARDIOVASCULAR|PRIVADO|LICENCIA OTORGADA|S|USMP-LIMA|LIMA|LIMA|SL01|LIMA|SANTA ANITA|-12.045948|-76.9681914|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
8|PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ|10|LIMA|INGENIERÍA CIVIL|PRIVADO|LICENCIA OTORGADA|S|PUCP-LIMA|LIMA|LIMA|SL01|LIMA|SAN MIGUEL|-12.0693438|-77.080122|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|73|ARQUITECTURA Y CONSTRUCCIÓN|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
3|UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO|8|APURÍMAC|MAESTRÍA EN CONTABILIDAD MENCIÓN FINANZAS EMPRESARIALES|PÚBLICO|LICENCIA OTORGADA|F06|UNSAAC-APURÍMAC|APURÍMAC|ANDAHUAYLAS|F06L01|ANDAHUAYLAS|ANDAHUAYLAS|-13.6616515|-73.3767641|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|0|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
14|UNIVERSIDAD PERUANA CAYETANO HEREDIA|10|LIMA|PROGRAMA DE SEGUNDA ESPECIALIDAD PROFESIONAL EN ONCOLOGÍA PREVENTIVA|PRIVADO|LICENCIA OTORGADA|S|UPCH-LIMA|LIMA|LIMA|SL03|LIMA|SAN ISIDRO|-12.091066|-77.052041|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|0|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
8|PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ|10|LIMA|INGENIERÍA DE LAS TELECOMUNICACIONES|PRIVADO|LICENCIA OTORGADA|S|PUCP-LIMA|LIMA|LIMA|SL01|LIMA|SAN MIGUEL|-12.0693438|-77.080122|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|61|INFORMÁTICA|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
20|UNIVERSIDAD FEMENINA DEL SAGRADO CORAZÓN|6|LIMA|MAESTRÍA EN DERECHO CIVIL CON MENCIÓN EN DERECHO DE FAMILIA|PRIVADO|LICENCIA OTORGADA|S|UNIFE-LIMA|LIMA|LIMA|SL01|LIMA|LA MOLINA|-12.0716313|-76.9650529|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|42|DERECHO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
11|UNIVERSIDAD NACIONAL DE LA AMAZONÍA PERUANA|8|LORETO|EDUCACIÓN INICIAL|PÚBLICO|LICENCIA OTORGADA|S|UNAP-LORETO|LORETO|MAYNAS|SL06|MAYNAS|IQUITOS|-3.749609062|-73.24723057|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|11|EDUCACIÓN INICIAL Y PRIMARIA|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
10|UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ|6|JUNÍN|INGENIERÍA FORESTAL TROPICAL|PÚBLICO|LICENCIA OTORGADA|F03|UNCP-JUNÍN|JUNÍN|SATIPO|F03L01|SATIPO|RÍO NEGRO|-11.21401817|-74.65583323|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|82|SILVICULTURA|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
72|UNIVERSIDAD SEÑOR DE SIPÁN S.A.C.|6|LAMBAYEQUE|INGENIERÍA INDUSTRIAL|PRIVADO|LICENCIA OTORGADA|S|USS-LAMBAYEQUE|LAMBAYEQUE|CHICLAYO|SL01|CHICLAYO|PIMENTEL|-6.7950553|-79.8852178|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|72|INDUSTRIA Y PRODUCCIÓN|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
25|UNIVERSIDAD NACIONAL DE EDUCACIÓN ENRIQUE GUZMÁN Y VALLE|6|LIMA|EDUCACIÓN CON ESPECIALIDAD DE CONSTRUCCIONES METÁLICAS|PÚBLICO|LICENCIA OTORGADA|S|UNEEGV-LIMA|LIMA|LIMA|SL01|LIMA|LURIGANCHO|-11.9475748|-76.7011822|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|0|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
1|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|10|LIMA|BOTÁNICA TROPICAL|PÚBLICO|LICENCIA OTORGADA|S|UNMSM-LIMA|LIMA|LIMA|SL01|LIMA|LIMA|-12.0560257|-77.0844226|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|51|CIENCIAS BIOLÓGICAS Y AFINES|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
68|UNIVERSIDAD CIENTÍFICA DEL SUR S.A.C.|6|LIMA|SEGUNDA ESPECIALIDAD EN REHABILITACIÓN ORAL|PRIVADO|LICENCIA OTORGADA|S|UCS-LIMA|LIMA|LIMA|SL04|LIMA|MIRAFLORES|-12.1194134|-77.0261271|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
16|UNIVERSIDAD NACIONAL DE CAJAMARCA|6|CAJAMARCA|PATOLOGÍA CLÍNICA|PÚBLICO|LICENCIA OTORGADA|S01|UNC-CAJAMARCA|CAJAMARCA|CAJAMARCA|S01L01|CAJAMARCA|CAJAMARCA|-7.167159|-78.4965043|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
1|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|10|LIMA|NUTRICIÓN CLÍNICA|PÚBLICO|LICENCIA OTORGADA|S|UNMSM-LIMA|LIMA|LIMA|SL04|LIMA|LA VICTORIA|-12.0578848|-77.0193871|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
32|UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN|6|TACNA|OBSTETRICIA|PÚBLICO|LICENCIA OTORGADA|S|UNJBG-TACNA|TACNA|TACNA|SL01|TACNA|TACNA|-18.0251828|-70.2505031|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
80|UNIVERSIDAD ANTONIO RUIZ DE MONTOYA|6|LIMA|MAESTRÍA EN CIENCIA POLÍTICA CON MENCIÓN EN INSTITUCIONES POLÍTICAS Y PROCESOS ELECTORALES|PRIVADO|LICENCIA OTORGADA|S|UARM-LIMA|LIMA|LIMA|SL01|LIMA|PUEBLO LIBRE|-12.0701464|-77.0586948|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|31|CIENCIAS SOCIALES Y DEL COMPORTAMIENTO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
38|UNIVERSIDAD PERUANA UNIÓN|6|LIMA|SEGUNDA ESPECIALIDAD EN ESTADÍSTICA APLICADA PARA INVESTIGACIÓN|PRIVADO|LICENCIA OTORGADA|S|UPeU-LIMA|LIMA|LIMA|SL01|LIMA|LURIGANCHO|-11.989087|-76.839662|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|54|MATEMÁTICAS Y ESTADÍSTICA|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
61|UNIVERSIDAD PRIVADA NORBERT WIENER S.A.|6|LIMA|INGENIERÍA DE SISTEMAS E INFORMÁTICA|PRIVADO|LICENCIA OTORGADA|S|UPNW-LIMA|LIMA|LIMA|SL03|LIMA|LINCE|-12.0897808|-77.0324658|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|61|INFORMÁTICA|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
22|UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA|6|HUÁNUCO|MAESTRÍA EN INGENIERÍA DE ALIMENTOS MENCIÓN: INGENIERÍA AGROINDUSTRIAL|PÚBLICO|LICENCIA OTORGADA|S|UNAS-HUÁNUCO|HUÁNUCO|LEONCIO PRADO|SL01|LEONCIO PRADO|RUPA-RUPA|-9.313946688|-75.99658307|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|0|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
052A|UNIVERSIDAD CÉSAR VALLEJO S.A.C.|6|ÁNCASH|CIENCIAS DE LA COMUNICACIÓN|PRIVADO|LICENCIA OTORGADA|F04|UPCV-ÁNCASH|ÁNCASH|SANTA|F04L02|SANTA|CHIMBOTE|-9.0764918|-78.5936877|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|32|PERIODISMO E INFORMACIÓN|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
43|UNIVERSIDAD PRIVADA DE TACNA|6|TACNA|DOCTORADO EN CIENCIAS CONTABLES|PRIVADO|LICENCIA OTORGADA|S|UPT-TACNA|TACNA|TACNA|SL06|TACNA|TACNA|-18.0052752|-70.2351039|AUTORIZADO POR LIC.|POSGRADO|DOCTORADO|41|ADMINISTRACIÓN Y COMERCIO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
1|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|10|LIMA|INGENIERÍA METALÚRGICA|PÚBLICO|LICENCIA OTORGADA|S|UNMSM-LIMA|LIMA|LIMA|SL01|LIMA|LIMA|-12.0560257|-77.0844226|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|71|INGENIERÍA Y PROFESIONES AFINES|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
052A|UNIVERSIDAD CÉSAR VALLEJO S.A.C.|6|LA LIBERTAD|SEGUNDA ESPECIALIDAD EN RADIOLOGÍA|PRIVADO|LICENCIA OTORGADA|S|UPCV-LA LIBERTAD|LA LIBERTAD|TRUJILLO|SL01|TRUJILLO|VICTOR LARCO HERRERA|-8.1293904|-79.0433213|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
55|UNIVERSIDAD PRIVADA DEL NORTE S.A.C.|6|LIMA|COMUNICACIÓN CORPORATIVA|PRIVADO|LICENCIA OTORGADA|F02|UPN-LIMA|LIMA|LIMA|F02L04|LIMA|SAN JUAN DE LURIGANCHO|-11.9841504|-77.0024242|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|32|PERIODISMO E INFORMACIÓN|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
29|UNIVERSIDAD DE PIURA|8|LIMA|MAESTRÍA EN FINANZAS|PRIVADO|LICENCIA OTORGADA|F01|UDEP-LIMA|LIMA|LIMA|F01L01|LIMA|MIRAFLORES|-12.1199404|-77.030347|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|41|ADMINISTRACIÓN Y COMERCIO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
42|UNIVERSIDAD NACIONAL DEL SANTA|6|ÁNCASH|DOCTORADO EN ANTROPOLOGÍA|PÚBLICO|LICENCIA OTORGADA|S|UNS-ÁNCASH|ÁNCASH|SANTA|SL01|SANTA|NUEVO CHIMBOTE|-9.1195533|-78.5133704|DECLARADO|POSGRADO|DOCTORADO|22|HUMANIDADES|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
27|UNIVERSIDAD NACIONAL DEL CALLAO|6|CALLAO|INGENIERÍA ELÉCTRICA CON MENCIÓN EN GESTIÓN DE SISTEMAS DE ENERGÍA ELÉCTRICA|PÚBLICO|LICENCIA OTORGADA|S|UNC-CALLAO|CALLAO|PROV. CONST. DEL CALLAO|SL01|PROV. CONST. DEL CALLAO|BELLAVISTA|-12.0612769|-77.1173082|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|71|INGENIERÍA Y PROFESIONES AFINES|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
68|UNIVERSIDAD CIENTÍFICA DEL SUR S.A.C.|6|LIMA|SEGUNDA ESPECIALIDAD EN MEDICINA DE EMERGENCIAS Y DESASTRES|PRIVADO|LICENCIA OTORGADA|S|UCS-LIMA|LIMA|LIMA|SL04|LIMA|MIRAFLORES|-12.1194134|-77.0261271|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|2|SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
54|UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.|6|LIMA|DISEÑO PROFESIONAL GRÁFICO|PRIVADO|LICENCIA OTORGADA|S|UPC-LIMA|LIMA|LIMA|SL07|LIMA|SAN MIGUEL|-12.0810086|-77.0707359|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|21|ARTE|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
14|UNIVERSIDAD PERUANA CAYETANO HEREDIA|10|LIMA|PROGRAMA DE SEGUNDA ESPECIALIDAD PROFESIONAL EN NEUROLOGÍA PEDIÁTRICA|PRIVADO|LICENCIA OTORGADA|S|UPCH-LIMA|LIMA|LIMA|SL02|LIMA|LA MOLINA|-12.0695303|-76.9685595|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
65|UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C.|6|PIURA|ADMINISTRACIÓN Y MARKETING|PRIVADO|LICENCIA OTORGADA|F03|UTP-PIURA|PIURA|PIURA|F03L01|PIURA|PIURA|-5.1851293|-80.6421152|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|41|ADMINISTRACIÓN Y COMERCIO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
42|UNIVERSIDAD NACIONAL DEL SANTA|6|ÁNCASH|EDUCACIÓN SECUNDARIA, ESPECIALIDAD: HISTORIA, GEOGRAFÍA Y CIENCIAS SOCIALES|PÚBLICO|LICENCIA OTORGADA|S|UNS-ÁNCASH|ÁNCASH|SANTA|SL01|SANTA|NUEVO CHIMBOTE|-9.1195533|-78.5133704|DECLARADO|PREGRADO|CARRERA PROFESIONAL|0|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
19|UNIVERSIDAD DE SAN MARTÍN DE PORRES|6|LIMA|NEUROLOGÍA|PRIVADO|LICENCIA OTORGADA|S|USMP-LIMA|LIMA|LIMA|SL01|LIMA|SANTA ANITA|-12.045948|-76.9681914|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
55|UNIVERSIDAD PRIVADA DEL NORTE S.A.C.|6|LIMA|DERECHO|PRIVADO|LICENCIA OTORGADA|F02|UPN-LIMA|LIMA|LIMA|F02L06|LIMA|CHORRILLOS|-12.17926249|-77.00377846|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|42|DERECHO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
14|UNIVERSIDAD PERUANA CAYETANO HEREDIA|10|LIMA|MAESTRÍA EN CIRUGÍA BUCAL Y MAXILOFACIAL|PRIVADO|LICENCIA OTORGADA|S|UPCH-LIMA|LIMA|LIMA|SL04|LIMA|MIRAFLORES|-12.13402606|-77.02627908|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
65|UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C.|6|LIMA|INGENIERÍA DE DISEÑO GRÁFICO|PRIVADO|LICENCIA OTORGADA|S|UTP-LIMA|LIMA|LIMA|SL05|LIMA|LIMA|-12.0624396|-77.0405951|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|21|ARTE|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
12|UNIVERSIDAD NACIONAL DEL ALTIPLANO|6|PUNO|INGENIERÍA ELECTRÓNICA|PÚBLICO|LICENCIA OTORGADA|S|UNA-PUNO|PUNO|PUNO|SL01|PUNO|PUNO|-15.8243805|-70.0162544|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|71|INGENIERÍA Y PROFESIONES AFINES|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
5|UNIVERSIDAD NACIONAL DE SAN AGUSTÍN DE AREQUIPA|10|AREQUIPA|MAESTRÍA EN CIENCIAS: INGENIERÍA INDUSTRIAL, CON MENCIÓN EN: GERENCIA DE OPERACIONES Y LOGÍSTICA|PÚBLICO|LICENCIA OTORGADA|S|UNSA-AREQUIPA|AREQUIPA|AREQUIPA|SL01|AREQUIPA|AREQUIPA|-16.4027681|-71.5255001|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|72|INDUSTRIA Y PRODUCCIÓN|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
46|UNIVERSIDAD PRIVADA ANTENOR ORREGO|6|LA LIBERTAD|ANESTESIOLOGÍA|PRIVADO|LICENCIA OTORGADA|S|UPAO-LA LIBERTAD|LA LIBERTAD|TRUJILLO|SL01|TRUJILLO|TRUJILLO|-8.1270487|-79.0314756|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
064A|UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA S.A.C.|6|LIMA|MAESTRÍA EN DERECHO PROCESAL PENAL|PRIVADO|LICENCIA OTORGADA|S|UPSJB-LIMA|LIMA|LIMA|SL02|LIMA|SAN BORJA|-12.088127|-76.9962269|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|42|DERECHO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
54|UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.|6|LIMA|MAESTRÍA EN DIRECCIÓN DE LA CONSTRUCCIÓN|PRIVADO|LICENCIA OTORGADA|S|UPC-LIMA|LIMA|LIMA|SL05|LIMA|SAN ISIDRO|-12.0868407|-77.0499283|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|73|ARQUITECTURA Y CONSTRUCCIÓN|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
61|UNIVERSIDAD PRIVADA NORBERT WIENER S.A.|6|LIMA|CONTABILIDAD Y AUDITORÍA|PRIVADO|LICENCIA OTORGADA|S|UPNW-LIMA|LIMA|LIMA|SL03|LIMA|LINCE|-12.0897808|-77.0324658|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|41|ADMINISTRACIÓN Y COMERCIO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
11|UNIVERSIDAD NACIONAL DE LA AMAZONÍA PERUANA|8|LORETO|MAESTRÍA EN CIENCIAS DE ENFERMERÍA CON MENCIÓN EN NIÑO Y ADOLESCENTE|PÚBLICO|LICENCIA OTORGADA|S|UNAP-LORETO|LORETO|MAYNAS|SL08|MAYNAS|IQUITOS|-3.7527575|-73.2699785|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|92|BIENESTAR|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
19|UNIVERSIDAD DE SAN MARTÍN DE PORRES|6|LIMA|TURISMO Y HOTELERÍA|PRIVADO|LICENCIA OTORGADA|S|USMP-LIMA|LIMA|LIMA|SL06|LIMA|SURQUILLO|-12.1052364|-77.0177466|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|1|SERVICIOS PERSONALES|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
19|UNIVERSIDAD DE SAN MARTÍN DE PORRES|6|LIMA|RELACIONES PÚBLICAS (VIRTUAL: SEMIPRESENCIAL)|PRIVADO|LICENCIA OTORGADA|S|USMP-LIMA|LIMA|LIMA|SL06|LIMA|SURQUILLO|-12.1052364|-77.0177466|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|41|ADMINISTRACIÓN Y COMERCIO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
7|UNIVERSIDAD NACIONAL AGRARIA LA MOLINA|8|LIMA|RECURSOS HÍDRICOS|PÚBLICO|LICENCIA OTORGADA|S|UNALM-LIMA|LIMA|LIMA|SL01|LIMA|LA MOLINA|-12.0817493|-76.9431895|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|52|MEDIO AMBIENTE|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
5|UNIVERSIDAD NACIONAL DE SAN AGUSTÍN DE AREQUIPA|10|AREQUIPA|CIRUGÍA ONCOLÓGICA|PÚBLICO|LICENCIA OTORGADA|S|UNSA-AREQUIPA|AREQUIPA|AREQUIPA|SL01|AREQUIPA|AREQUIPA|-16.4027681|-71.5255001|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
3|UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO|8|CUSCO|MAESTRÍA EN MATEMÁTICAS|PÚBLICO|LICENCIA OTORGADA|S|UNSAAC-CUSCO|CUSCO|CUSCO|SL01|CUSCO|CUSCO|-13.52193|-71.9583208|AUTORIZADO POR LIC.|POSGRADO|MAESTRÍA|54|MATEMÁTICAS Y ESTADÍSTICA|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
14|UNIVERSIDAD PERUANA CAYETANO HEREDIA|10|LIMA|PROGRAMA DE SEGUNDA ESPECIALIDAD PROFESIONAL EN CIRUGÍA DE TÓRAX Y CARDIOVASCULAR|PRIVADO|LICENCIA OTORGADA|S|UPCH-LIMA|LIMA|LIMA|SL01|LIMA|SAN MARTÍN DE PORRES|-12.0239471|-77.0564991|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
54|UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.|6|LIMA|CONTABILIDAD|PRIVADO|LICENCIA OTORGADA|S|UPC-LIMA|LIMA|LIMA|SL07|LIMA|SAN MIGUEL|-12.0810086|-77.0707359|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|41|ADMINISTRACIÓN Y COMERCIO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
052A|UNIVERSIDAD CÉSAR VALLEJO S.A.C.|6|LIMA|MARKETING Y DIRECCIÓN DE EMPRESAS|PRIVADO|LICENCIA OTORGADA|F05|UPCV-LIMA|LIMA|LIMA|F05L02|LIMA|SAN JUAN DE LURIGANCHO|-11.9814929|-77.0001665|AUTORIZADO POR LIC.|PREGRADO|CARRERA PROFESIONAL|41|ADMINISTRACIÓN Y COMERCIO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
074A|ASOCIACIÓN CIVIL UNIVERSIDAD CATÓLICA DE TRUJILLO BENEDICTO XVI|6|LA LIBERTAD|SEGUNDA ESPECIALIDAD EN GESTIÓN EDUCATIVA|PRIVADO|LICENCIA OTORGADA|S|UCT-LA LIBERTAD|LA LIBERTAD|TRUJILLO|SL03|TRUJILLO|TRUJILLO|-8.1016825|-79.041817|AUTORIZADO POR LIC.|POSGRADO|SEGUNDA ESPECIALIDAD|19|OTROS PROGRAMAS EN EDUCACIÓN|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
